Suma Estrés,Suma Ansiedad,Suma Depresión,Genero,Edad,Orientacion,Raza,Educacion,Licenciatura,Ingles Nativo,Religion,Matrimonio,Zurdo,Zona vivienda,Familia,Voto,EXTRAVERSIÓN,AMABILIDAD,RESPONSABILIDAD,NEUROTICISMO,APERTURA EXP,country
1,3,1,Mujer,71,Heterosexual,Blanco,Grado universitario,0,1,Otros,2,Diestro,Suburbano,1,2,4.0,6.5,6.5,4.0,6.0,GB
28,21,13,Mujer,14,Bisexual,Blanco,Hasta el instituto,0,1,Otros,1,Zurdo,Urbano,5,2,3.5,4.0,3.5,1.5,4.5,US
11,5,15,Mujer,37,Heterosexual,Blanco,Grado universitario,0,1,Otros,1,Diestro,Suburbano,2,1,4.5,4.0,5.5,2.5,5.5,US
42,41,42,Mujer,20,Bisexual,Blanco,Instituto,0,1,Ateo,1,Diestro,Suburbano,4,2,1.0,5.5,1.5,1.0,3.0,US
18,11,10,Otros,26,Otros,Asiática,Grado universitario,4,2,Otros,1,Ambidiestro,Suburbano,1,1,3.5,5.5,2.5,6.0,4.5,KR
15,7,10,Otros,13,Bisexual,Blanco,Instituto,0,2,Otros (cristianismo),1,Diestro,Rural,4,2,1.5,1.0,4.5,2.0,3.0,FI
9,8,10,Hombre,67,Heterosexual,Blanco,Instituto,0,1,Católico,3,Diestro,Rural,5,2,4.0,5.0,2.0,3.0,6.0,IE
39,38,42,Mujer,16,Bisexual,Blanco,Instituto,0,1,Otros,1,Diestro,Suburbano,3,2,3.0,5.5,3.0,2.5,4.5,AU
21,20,15,Otros,18,Heterosexual,Negra,Instituto,0,1,Católico,1,Diestro,Suburbano,4,2,1.5,5.0,7.0,4.0,5.0,US
14,17,20,Mujer,23,Heterosexual,Blanco,Instituto,0,1,Ateo,2,Diestro,Suburbano,5,2,1.0,2.5,5.0,3.5,3.5,US
7,8,2,Mujer,42,Heterosexual,Blanco,Grado universitario,0,2,Ateo,1,Diestro,Urbano,2,1,6.5,5.0,6.0,4.5,6.5,RS
16,5,10,Mujer,20,Heterosexual,Blanco,Instituto,0,2,Católico,1,Diestro,Suburbano,3,1,6.0,4.5,2.5,3.0,5.5,NO
42,37,42,Hombre,34,Homosexual,Blanco,Máster/Doctorado,4,1,Católico,1,Diestro,Urbano,1,1,1.5,6.0,5.0,2.0,5.0,US
16,11,11,Hombre,16,Heterosexual,Blanco,Hasta el instituto,0,2,Ateo,1,Diestro,Urbano,1,2,4.5,2.5,5.0,4.0,7.0,PL
21,16,29,Hombre,17,Heterosexual,Blanco,Hasta el instituto,0,2,Agnostico,1,Diestro,Rural,2,2,2.5,4.0,4.0,3.5,5.0,PL
17,7,15,Mujer,32,Heterosexual,Asiática,Instituto,0,1,Otros (cristianismo),3,Diestro,Suburbano,4,2,4.0,4.0,4.5,3.0,5.5,US
30,12,27,Mujer,19,Heterosexual,Blanco,Grado universitario,0,1,Ateo,1,Diestro,Rural,2,2,6.0,7.5,5.0,3.5,5.5,GB
4,2,0,Hombre,16,Heterosexual,Blanco,Instituto,0,1,Ateo,1,Diestro,Suburbano,3,2,5.0,6.0,2.0,6.5,6.0,US
32,22,7,Mujer,18,Heterosexual,Blanco,Instituto,0,1,Católico,1,Diestro,Urbano,3,2,3.5,4.5,4.0,3.0,5.0,US
16,6,20,Hombre,17,Heterosexual,Blanco,Instituto,0,1,Otros (cristianismo),1,Diestro,Suburbano,5,2,3.0,4.5,6.0,6.0,5.5,US
36,34,39,Mujer,36,Homosexual,Blanco,Instituto,0,1,Protestante,3,Diestro,Urbano,2,1,2.0,5.0,6.0,1.0,6.0,GB
2,1,1,Hombre,20,Heterosexual,Blanco,Instituto,0,2,Ateo,1,Diestro,Suburbano,3,1,4.5,3.0,5.5,7.0,4.0,HU
12,29,42,Hombre,24,Heterosexual,Blanco,Máster/Doctorado,0,1,Otros,1,Diestro,Urbano,2,2,1.0,2.0,5.0,4.5,3.0,CA
15,14,21,Mujer,23,Otros,Blanco,Grado universitario,0,1,Agnostico,1,Diestro,Urbano,2,2,3.5,4.0,5.0,2.5,6.0,GB
28,14,26,Mujer,27,Bisexual,Blanco,Grado universitario,4,2,Agnostico,1,Diestro,Urbano,2,1,1.5,3.5,5.0,2.5,4.0,BR
15,8,21,Mujer,17,Bisexual,Blanco,Hasta el instituto,0,1,Agnostico,1,Diestro,Rural,1,2,2.5,5.5,5.0,3.5,4.0,US
26,7,20,Mujer,19,Heterosexual,Blanco,Instituto,0,1,Ateo,1,Diestro,Urbano,2,2,1.0,3.0,6.5,1.5,5.5,US
35,26,36,Otros,15,Otros,Blanco,Hasta el instituto,0,1,Ateo,1,Diestro,Rural,1,2,1.0,2.5,4.0,2.0,3.0,US
6,0,6,Mujer,46,Heterosexual,Blanco,Instituto,3,1,Agnostico,2,Zurdo,Urbano,2,1,4.5,4.5,3.0,5.0,6.0,US
19,19,28,Mujer,14,Heterosexual,Blanco,Hasta el instituto,0,1,Otros (cristianismo),1,Diestro,Suburbano,3,2,1.0,6.0,5.0,1.5,4.5,US
25,14,23,Hombre,21,Heterosexual,Blanco,Grado universitario,2,1,Católico,1,Diestro,Rural,2,1,5.5,5.5,7.0,4.5,6.5,US
3,4,1,Mujer,13,Heterosexual,Asiática,Hasta el instituto,7,2,Católico,1,Diestro,Rural,3,2,5.0,6.0,6.0,7.0,4.0,PH
14,6,12,Hombre,22,Heterosexual,Blanco,Instituto,0,2,Ateo,1,Zurdo,Urbano,2,1,2.0,3.5,3.5,5.0,4.5,IT
21,25,30,Mujer,16,Homosexual,Blanco,Instituto,0,1,Ateo,1,Zurdo,Rural,11,2,1.5,6.5,7.0,3.0,6.0,US
26,21,38,Mujer,14,Otros,Blanco,Hasta el instituto,0,2,Otros (cristianismo),1,Diestro,Urbano,1,2,1.5,2.0,2.0,6.0,5.0,RS
26,23,7,Mujer,21,Heterosexual,Blanco,Instituto,0,2,Ateo,1,Diestro,Suburbano,3,2,3.5,4.0,2.5,2.0,5.0,DE
25,8,14,Hombre,30,Heterosexual,Blanco,Otros,0,1,Ateo,2,Diestro,Suburbano,2,1,4.5,4.5,4.0,4.0,6.0,US
39,39,41,Hombre,18,Heterosexual,Blanco,Instituto,0,2,Agnostico,1,Diestro,Rural,3,2,1.0,3.0,1.0,1.0,1.0,DE
24,4,12,Mujer,15,Bisexual,Blanco,Hasta el instituto,0,1,Judío,1,Diestro,Suburbano,2,2,6.5,3.5,4.0,3.0,5.5,US
40,42,42,Hombre,20,Heterosexual,Blanco,Grado universitario,8,1,Agnostico,2,Diestro,Rural,4,2,1.0,4.0,1.0,1.0,1.0,GB
39,34,40,Mujer,24,Heterosexual,Blanco,Instituto,0,1,Ateo,1,Diestro,Suburbano,2,1,5.0,5.0,2.0,2.5,6.5,US
23,30,15,Hombre,38,Bisexual,Blanco,Grado universitario,4,1,Agnostico,1,Diestro,Urbano,5,1,3.5,7.0,5.0,1.5,4.5,US
11,4,11,Mujer,21,Heterosexual,Asiática,Instituto,7,1,Ateo,1,Diestro,Urbano,2,2,2.0,6.0,3.5,3.0,3.5,US
30,22,34,Mujer,42,Heterosexual,Blanco,Instituto,0,1,Otros (cristianismo),3,Diestro,Suburbano,1,1,7.0,7.0,2.5,2.5,6.0,US
